dataset,regime,n_test_hours,n_event_hours,event_hour_rate,n_true_events,mean_duration_h,median_duration_h,p90_duration_h,max_duration_h,singleton_rate,multi_hour_rate,four_plus_rate,spike_thr_train
LAGO_PJM,spike,10440,11,0.001053639846743295,6,1.8333333333333333,2.0,2.5,3,0.3333333333333333,0.6666666666666666,0.0,114.50219567999999
LAGO_NP,negative,10440,0,0.0,0,,,,0,,,,53.35889999999999
LAGO_NP,spike,10440,1278,0.12241379310344827,186,6.870967741935484,4.0,17.0,24,0.14516129032258066,0.8548387096774194,0.5806451612903226,53.35889999999999
LAGO_NP,negative,10440,0,0.0,0,,,,0,,,,53.35889999999999
LAGO_NP,spike,10440,1278,0.12241379310344827,186,6.870967741935484,4.0,17.0,24,0.14516129032258066,0.8548387096774194,0.5806451612903226,53.35889999999999
NEM_SA1,negative,8712,2590,0.2972910927456382,378,6.851851851851852,7.0,12.0,24,0.12169312169312169,0.8783068783068783,0.716931216931217,612.0564999999992
NEM_SA1,spike,8712,51,0.005853994490358127,21,2.4285714285714284,1.0,6.0,7,0.5238095238095238,0.47619047619047616,0.23809523809523808,612.0564999999992
NEM_SA1,negative,8712,2590,0.2972910927456382,378,6.851851851851852,7.0,12.0,24,0.12169312169312169,0.8783068783068783,0.716931216931217,612.0564999999992
NEM_SA1,spike,8712,51,0.005853994490358127,21,2.4285714285714284,1.0,6.0,7,0.5238095238095238,0.47619047619047616,0.23809523809523808,612.0564999999992
NEM_VIC1,negative,8712,2054,0.23576675849403123,333,6.168168168168168,6.0,11.800000000000011,24,0.16816816816816818,0.8318318318318318,0.6516516516516516,484.9847916666659
NEM_VIC1,spike,8712,35,0.0040174471992653815,12,2.9166666666666665,2.0,5.800000000000001,6,0.25,0.75,0.4166666666666667,484.9847916666659
NEM_VIC1,negative,8712,2054,0.23576675849403123,333,6.168168168168168,6.0,11.800000000000011,24,0.16816816816816818,0.8318318318318318,0.6516516516516516,484.9847916666659
NEM_VIC1,spike,8712,35,0.0040174471992653815,12,2.9166666666666665,2.0,5.800000000000001,6,0.25,0.75,0.4166666666666667,484.9847916666659
NEM_NSW1,negative,8712,1086,0.1246556473829201,236,4.601694915254237,4.0,9.0,12,0.21610169491525424,0.7838983050847458,0.559322033898305,594.5980833333329
NEM_NSW1,spike,8712,61,0.007001836547291093,33,1.8484848484848484,1.0,3.0,6,0.5454545454545454,0.45454545454545453,0.09090909090909091,594.5980833333329
NEM_NSW1,negative,8712,1086,0.1246556473829201,236,4.601694915254237,4.0,9.0,12,0.21610169491525424,0.7838983050847458,0.559322033898305,594.5980833333329
NEM_NSW1,spike,8712,61,0.007001836547291093,33,1.8484848484848484,1.0,3.0,6,0.5454545454545454,0.45454545454545453,0.09090909090909091,594.5980833333329
GEFCOM14P,negative,5136,0,0.0,0,,,,0,,,,139.7256
GEFCOM14P,spike,5136,71,0.01382398753894081,13,5.461538461538462,3.0,9.0,16,0.23076923076923078,0.7692307692307693,0.46153846153846156,139.7256
GEFCOM14P,negative,5136,0,0.0,0,,,,0,,,,139.7256
GEFCOM14P,spike,5136,71,0.01382398753894081,13,5.461538461538462,3.0,9.0,16,0.23076923076923078,0.7692307692307693,0.46153846153846156,139.7256
UNIELEC_DE,negative,16992,553,0.03254472693032015,119,4.647058823529412,4.0,8.0,16,0.16806722689075632,0.8319327731092437,0.6050420168067226,78.28
UNIELEC_DE,spike,16992,10515,0.6188206214689266,1101,9.550408719346049,7.0,24.0,24,0.07356948228882834,0.9264305177111717,0.7892824704813806,78.28
UNIELEC_DE,negative,16992,553,0.03254472693032015,119,4.647058823529412,4.0,8.0,16,0.16806722689075632,0.8319327731092437,0.6050420168067226,78.28
UNIELEC_DE,spike,16992,10515,0.6188206214689266,1101,9.550408719346049,7.0,24.0,24,0.07356948228882834,0.9264305177111717,0.7892824704813806,78.28
UNIELEC_AT,negative,16560,318,0.01920289855072464,73,4.3561643835616435,4.0,8.0,11,0.1506849315068493,0.8493150684931506,0.5616438356164384,75.01
UNIELEC_AT,spike,16560,11198,0.6762077294685991,1063,10.534336782690499,7.0,24.0,24,0.07902163687676388,0.9209783631232361,0.8024459078080903,75.01
UNIELEC_AT,negative,16560,318,0.01920289855072464,73,4.3561643835616435,4.0,8.0,11,0.1506849315068493,0.8493150684931506,0.5616438356164384,75.01
UNIELEC_AT,spike,16560,11198,0.6762077294685991,1063,10.534336782690499,7.0,24.0,24,0.07902163687676388,0.9209783631232361,0.8024459078080903,75.01
UNIELEC_IE,negative,9984,78,0.0078125,18,4.333333333333333,3.5,7.200000000000003,13,0.1111111111111111,0.8888888888888888,0.5,275.0
UNIELEC_IE,spike,9984,24,0.002403846153846154,18,1.3333333333333333,1.0,2.0,2,0.6666666666666666,0.3333333333333333,0.0,275.0
UNIELEC_IE,negative,9984,78,0.0078125,18,4.333333333333333,3.5,7.200000000000003,13,0.1111111111111111,0.8888888888888888,0.5,275.0
UNIELEC_IE,spike,9984,24,0.002403846153846154,18,1.3333333333333333,1.0,2.0,2,0.6666666666666666,0.3333333333333333,0.0,275.0
UNIELEC_BE,negative,16992,616,0.036252354048964215,140,4.4,3.5,9.0,15,0.2,0.8,0.5,112.95499999999956
UNIELEC_BE,spike,16992,4594,0.2703625235404896,742,6.191374663072776,4.0,19.0,24,0.16846361185983827,0.8315363881401617,0.5026954177897575,112.95499999999956
UNIELEC_BE,negative,16992,616,0.036252354048964215,140,4.4,3.5,9.0,15,0.2,0.8,0.5,112.95499999999956
UNIELEC_BE,spike,16992,4594,0.2703625235404896,742,6.191374663072776,4.0,19.0,24,0.16846361185983827,0.8315363881401617,0.5026954177897575,112.95499999999956
UNIELEC_FI,negative,17016,1031,0.060590032910202166,214,4.817757009345795,4.0,9.0,24,0.20093457943925233,0.7990654205607477,0.5233644859813084,76.86
UNIELEC_FI,spike,17016,5290,0.3108838740009403,536,9.869402985074627,6.0,24.0,24,0.15858208955223882,0.8414179104477612,0.6473880597014925,76.86
UNIELEC_FI,negative,17016,1031,0.060590032910202166,214,4.817757009345795,4.0,9.0,24,0.20093457943925233,0.7990654205607477,0.5233644859813084,76.86
UNIELEC_FI,spike,17016,5290,0.3108838740009403,536,9.869402985074627,6.0,24.0,24,0.15858208955223882,0.8414179104477612,0.6473880597014925,76.86
UNIELEC_DK,negative,17016,531,0.03120592383638928,104,5.105769230769231,4.0,8.0,24,0.09615384615384616,0.9038461538461539,0.625,74.47220000000002
UNIELEC_DK,spike,17016,9313,0.5473084156088387,966,9.640786749482402,7.0,24.0,24,0.08178053830227744,0.9182194616977226,0.7598343685300207,74.47220000000002
UNIELEC_DK,negative,17016,531,0.03120592383638928,104,5.105769230769231,4.0,8.0,24,0.09615384615384616,0.9038461538461539,0.625,74.47220000000002
UNIELEC_DK,spike,17016,9313,0.5473084156088387,966,9.640786749482402,7.0,24.0,24,0.08178053830227744,0.9182194616977226,0.7598343685300207,74.47220000000002
UNIELEC_NL,negative,16992,752,0.044256120527306965,164,4.585365853658536,4.0,8.0,15,0.13414634146341464,0.8658536585365854,0.5670731707317073,83.34699999999997
UNIELEC_NL,spike,16992,9957,0.585981638418079,1237,8.049312853678254,6.0,24.0,24,0.1099434114793856,0.8900565885206144,0.7154405820533549,83.34699999999997
UNIELEC_NL,negative,16992,752,0.044256120527306965,164,4.585365853658536,4.0,8.0,15,0.13414634146341464,0.8658536585365854,0.5670731707317073,83.34699999999997
UNIELEC_NL,spike,16992,9957,0.585981638418079,1237,8.049312853678254,6.0,24.0,24,0.1099434114793856,0.8900565885206144,0.7154405820533549,83.34699999999997
UNIELEC_CZ,negative,17016,433,0.025446638457921954,98,4.418367346938775,4.0,8.0,14,0.16326530612244897,0.8367346938775511,0.5204081632653061,81.62200000000011
UNIELEC_CZ,spike,17016,10868,0.6386929948283968,1142,9.516637478108581,7.0,24.0,24,0.09457092819614711,0.9054290718038529,0.7626970227670753,81.62200000000011
UNIELEC_CZ,negative,17016,433,0.025446638457921954,98,4.418367346938775,4.0,8.0,14,0.16326530612244897,0.8367346938775511,0.5204081632653061,81.62200000000011
UNIELEC_CZ,spike,17016,10868,0.6386929948283968,1142,9.516637478108581,7.0,24.0,24,0.09457092819614711,0.9054290718038529,0.7626970227670753,81.62200000000011
