title,authors,year,venue,id,pdf_sha256_or_url,local_path,coordinate,verbatim_quote,negative_price_treatment,target_horizon,market,duration_or_spell,forecasting,postprocessing,counted,notes
"Negative Wholesale Electricity Prices in the German, French and Belgian Day-Ahead, Intra-Day and Real-Time Markets",De Vos,2015,The Electricity Journal 28(4):36-50,DOI 10.1016/j.tej.2015.04.001,abstract_only (ScienceDirect) + Lirias 469221 404; Unpaywall: no OA location,,published abstract,Negative prices are a correct signal representing the system's scarcity of downward flexibility,descriptive_occurrence_overview_DE_FR_BE,na,DE/FR/BE DA+ID+RT,no,no,no,no,abstract_only; occurrence statistics; no forecast; no duration
Risk premia in the German day-ahead electricity market revisited: The impact of negative prices,Valitov,2019,Energy Economics 82:70-77,DOI 10.1016/j.eneco.2018.01.020,paywalled,,abstract,negative prices impact on risk premia,risk_premia_market_design,na,Germany,no,no,no,no,abstract_only
Forecasting the occurrence of extreme electricity prices using a multivariate logistic regression model,,2022,Energy,DOI 10.1016/j.energy.2022.123417,paywalled,,abstract,extreme price occurrence multivariate logistic,pointwise_occurrence_logistic,DA,market n/a,no,yes,no,no,abstract_only; pointwise occurrence
The Drivers of Negative Electricity Price Occurrence: Insights from the New York Wholesale Electricity Markets,,2023,SSRN 4550491,DOI 10.2139/ssrn.4550491,paywalled/SSRN,,abstract,drivers of negative price occurrence,descriptive_drivers,na,NY markets,no,no,no,no,abstract_only
Understanding the Drivers of Negative Electricity Price Using Decision Tree,,2017,IEEE GreenTech 2017,DOI 10.1109/greentech.2017.28,paywalled,,abstract,decision tree drivers of negative prices,descriptive_drivers,na,market n/a,no,no,no,no,abstract_only
A Hybrid Classification-Regression Method for Forecasting Negative Electricity Prices,,2026,IEEE ICCE 2026,DOI 10.1109/icce67443.2026.11449799,paywalled,,abstract,hybrid classification-regression for negative prices,pointwise_classification_regression,DA,market n/a,no,yes,no,no,abstract_only; pointwise forecast; no episode
Forecasting negative electricity prices,Stolberg,2019,conference paper (wiwi.hu-berlin.de),,"failed (4,743 B bot HTML)",,-,-,pointwise_occurrence?,n/a,n/a,no,?,no,no,failed_download; downloaded file is anti-bot HTML not PDF
Comparison of extended mean-reversion and time series models for electricity spot price simulation considering negative prices,"Keles, Genoese, Most, Fichtner",2011,Energy Economics 34:1012-1032,DOI 10.1016/j.eneco.2011.08.012,paywalled,,abstract,negative prices in spot price simulation,price_process_simulation,na,EEX Germany,no,no,no,no,abstract_only; simulation not forecast
Negative price spiral caused by renewables? Electricity price prediction on the German market for 2030,,2022,The Electricity Journal,DOI 10.1016/j.tej.2022.107188,paywalled,,abstract,2030 price prediction with negative prices,price_level_prediction_2030,DA long-term,Germany,no,yes,no,no,abstract_only; long-term scenario; not spell
Occurrence of negative prices on the German spot market for electricity and their influence on balancing power prices,,2010,IEEE EEM 2010,DOI 10.1109/eem.2010.5558703,paywalled,,abstract,negative price occurrence and balancing,descriptive_occurrence,na,Germany,no,no,no,no,abstract_only
Measuring a paradox: Zero-negative electricity prices,,2025,Utilities Policy,DOI 10.1016/j.jup.2025.102108,paywalled,,abstract,zero-negative price paradox,descriptive,na,n/a,no,no,no,no,abstract_only; market design
Ever More Frequent Negative Electricity Prices: A New Reality and Challenges for Photovoltaics and Wind Power,,2025,Energies 18(10):2498,DOI 10.3390/en18102498,OA MDPI,,abstract,ever more frequent negative prices PV/wind,descriptive_frequency,na,Europe,no,no,no,no,abstract_only
The economics of negative price phenomenon in renewable-integrated electricity markets,,2025,Energy Economics,DOI 10.1016/j.eneco.2025.109086,paywalled,,abstract,negative price economics,descriptive_economics,na,n/a,no,no,no,no,abstract_only
Welcome to the New Normal: Negative Electricity Prices,,2018,The Electricity Journal,DOI 10.1016/j.tej.2018.01.013,paywalled,,abstract,negative prices new normal,descriptive,na,Germany/Europe,no,no,no,no,abstract_only; commentary
Electricity Trading and Negative Prices: Storage vs. Disposal,,2014,Management Science (SSRN 2543790),DOI 10.1287/mnsc.2015.2161,paywalled,,abstract,storage vs disposal under negative prices,market_behavior,na,n/a,no,no,no,no,abstract_only; optimization
Negative electricity prices as a signal for lacking flexibility?,,2023,Int. J. Energy Sector Management,DOI 10.1108/ijesm-12-2021-0005,paywalled,,abstract,negative prices as flexibility signal,descriptive_flexibility,na,Europe,no,no,no,no,abstract_only
Plentiful electricity turns wholesale prices negative,,2021,Advances in Applied Energy,DOI 10.1016/j.adapen.2021.100073,paywalled,,abstract,abundant supply negative prices,descriptive,na,n/a,no,no,no,no,abstract_only
The Impact of Renewable Generation Variability on Volatility and Negative Electricity Prices: Implications for,,2025,World Electric Vehicle Journal,DOI 10.3390/wevj16080438,OA MDPI,,abstract,renewable variability negative prices,descriptive,na,n/a,no,no,no,no,abstract_only
Negative electricity prices as a signal for lacking flexibility? On the effects of demand flexibility,,2023,IJESM,DOI 10.1108/ijesm-12-2021-0005,paywalled,,abstract,demand flexibility effects,descriptive,na,n/a,no,no,no,no,abstract_only
